"id-missouri-mo_vtds20-34-StateSenateDistricts",assignment
2901900001A,0
2901900001D,0
2901900002G,0
29019000018,0
29019000019,0
29019000038,0
29019000007,0
29019000008,0
29019000039,0
29019000010,0
29019000011,0
29019000012,0
29019000009,0
29019000016,0
29019000020,0
2901900002K,0
2901916-01K,0
29019000015,0
29019000022,0
2901900002I,0
2901900002D,0
2901916-01J,0
2901916-02L,0
2901900001F,0
2901900002F,0
2901900002A,0
2901900001G,0
2901900002H,0
2901916-045,0
29019000040,0
2901916-03G,0
2901900003A,0
2901900002C,0
2901900002B,0
2901900002J,0
29019000037,0
29019000021,0
2901900004B,0
2901900004K,0
2901900004L,0
2901916-01L,0
2901900004J,0
2901900004G,0
2901916-04M,0
2901900005L,0
2901900004A,0
29019000036,0
2901900005K,0
2901916-05P,0
2901916-044,0
2901900005E,0
2901900005B,0
29019000027,0
2901916-05N,0
2901900004C,0
2901900004D,0
2901900004H,0
2901900004E,0
2901900001C,0
2901900004I,0
2901900004F,0
2901900001I,0
2901900005A,0
2901900006F,0
2901900005G,0
2901900005H,0
2901900005M,0
2901900005I,0
2901900005C,0
2901900005F,0
2901900005J,0
2901916-01M,0
2901900001B,0
2901900003D,0
2901900006A,0
2901900001E,0
2901900006B,0
2901916-06L,0
2901916-03H,0
2901900006C,0
2901900006H,0
2901900006G,0
2901900006I,0
2901900006E,0
2901916-06M,0
2901916-06K,0
29019000028,0
2901900005D,0
29019000026,0
29019000017,0
2901916-03L,0
2901900003B,0
2901916-03I,0
2901900003C,0
2901916-03J,0
29019000041,0
2901916-03N,0
2901900003F,0
29019000023,0
29019000024,0
2901916-06J,0
29019000034,0
2901916-03M,0
2901900003E,0
2901900006D,0
29019000033,0
29019000025,0
29019000029,0
29019000032,0
29019000031,0
29019000030,0
29019000035,0
29019000042,0
2901916-043,0
29051000034,1
29051000005,1
29051000006,1
29051000041,1
29051000043,1
29051000042,1
29051000035,1
29051000051,1
29051000052,1
29051000002,1
29051000040,1
2905116-3-9,1
29051000032,1
2905116-411,1
2905116-3-8,1
2905116-3-7,1
2905116-410,1
2905116-514,1
2905116-2-5,1
2905116-2-6,1
29051000016,1
29051000009,1
2905116-512,1
29051000010,1
29051000039,1
29051000038,1
29051000037,1
29051000036,1
29051000003,1
29051000007,1
29051000004,1
2905116-513,1
29051000050,1
29051000008,1
29051000049,1
29051000044,1
29051000045,1
29051000011,1
29051000046,1
2905116-001,1
2905116-002,1
29027001595,1
29027001543,1
29027001069,1
29027001189,1
29027001271,1
29027001306,1
29027001292,1
29027001272,1
29027001190,1
29027001081,1
29027001083,1
29027001584,1
29027001843,1
29027001989,1
29027001991,1
29027001297,1
29027001763,1
29027001438,1
29027001350,1
29027001351,1
29027000826,1
29027000828,1
29027000998,1
29027000839,1
29027000842,1
29151000004,1
29151000015,1
29151000008,1
29151000007,1
29151000013,1
29151000020,1
29151000012,1
29151000002,1
29151000018,1
29151000019,1
29151000014,1
29151000009,1
29151000005,1
29151000011,1
29151000010,1
29151000006,1
29151000003,1
29125000008,1
29125000005,1
29125000010,1
29125000006,1
29125000003,1
29125000007,1
29125000002,1
29125000004,1
29125000009,1
29131000018,1
29131000005,1
29131000008,1
29131000019,1
29131000009,1
29131000016,1
29131000012,1
29131000023,1
29131000013,1
29131000029,1
29131000011,1
29131000020,1
29135000006,1
29135000011,1
29135000010,1
29135000012,1
29135000005,1
29135000004,1
29135000008,1
29135000002,1
29135000003,1
29135000013,1
29135000009,1
29135000007,1
29510000082,2
29510000080,2
29510000084,2
29510000066,2
2951016-116,2
29510000083,2
29510000081,2
29510000185,2
29510000182,2
29510000094,2
2951016-102,2
2951016-101,2
29510000096,2
29510000088,2
29510000093,2
29510000097,2
29510000086,2
29510000095,2
29510000087,2
29510000085,2
2951016-137,2
29510000183,2
29510000104,2
29510000103,2
2951016-148,2
2951016-206,2
29510000146,2
29510000148,2
2951016-256,2
2951016-207,2
2951016-255,2
29510000184,2
29510000108,2
29510000147,2
29510000068,2
29510000072,2
29510000054,2
2951016-099,2
29510000149,2
29510000069,2
29510000067,2
29510000150,2
2951016-091,2
29510000070,2
2951016-097,2
29510000049,2
29510000042,2
29510000040,2
29510000048,2
29510000046,2
29510000062,2
29510000041,2
29510000061,2
29510000064,2
29510000105,2
29510000106,2
29510000063,2
29510000059,2
29510000058,2
29510000060,2
29510000050,2
29510000043,2
29510000140,2
29510000051,2
29510000053,2
29510000047,2
29510000045,2
29510000044,2
29510000139,2
29510000141,2
29510000052,2
29510000142,2
2951016-058,2
2951016-057,2
29510000032,2
2951016-303,2
29510000019,2
29510000017,2
29510000145,2
2951016-036,2
2951016-410,2
29510000144,2
2951016-183,2
29510000037,2
29510000035,2
29510000036,2
2951016-053,2
29510000033,2
2951016-031,2
2951016-026,2
2951016-039,2
29510000010,2
29510000022,2
29510000020,2
29510000023,2
29510000153,2
29510000152,2
2951016-219,2
29510000154,2
29510000131,2
29510000025,2
29510000026,2
2951016-041,2
29510000028,2
29510000151,2
29510000030,2
2951016-218,2
29510000157,2
29510000155,2
29510000156,2
29510000143,2
29510000136,2
29510000119,2
29510000122,2
29510000130,2
29510000128,2
29510000092,3
29510000100,3
29510000099,3
2951016-149,3
29510000102,2
29510161410,2
2951016-156,2
29510000109,2
29510000079,2
29510000107,2
2951016-157,2
2951016-257,2
2951016-108,2
29510000056,2
29510000090,3
29510000089,3
29510000091,3
29510000111,3
29510000112,3
29510000101,3
29510000098,3
29510000077,3
29510000076,3
29510000169,3
2951016-109,3
29510000113,3
29510000115,3
29510000168,3
29510000170,3
29510000117,3
29510000116,3
29510000171,3
29510000165,3
29510000167,3
2951016-164,3
29510000172,3
29510000166,3
29510000057,3
29510000075,3
29510000073,3
29510000074,3
29510000078,3
29510161010,3
29510000176,3
29510000177,3
29510000118,3
2951016-239,3
29510000175,3
2951016-173,3
29510000124,3
29510161013,3
29510000126,3
29510161012,3
29510161011,3
29510000174,3
29510000203,3
2951016-241,3
29510000180,3
29510000202,3
29510000178,3
29510000179,3
2951016-192,3
29510000127,3
29510000135,3
29510000201,3
29510000208,3
29510000188,3
29510000205,3
29510000204,3
29510000186,3
29510000191,3
29510000206,3
29510000134,3
29510000125,3
29510000209,3
29510000200,3
29510162811,3
2951016-202,3
2951016-046,2
29510000027,2
29510000031,3
29510000133,3
29510000007,3
29510000006,2
29510000187,3
29510000161,3
29510000162,3
29510000189,3
29510000190,3
29510000163,3
2951016-049,3
29510000008,2
2951016-011,2
29510000003,3
2951016-228,3
29510000158,3
29510000159,3
29510000005,2
29510000004,2
29510000196,2
29510000160,3
29510000164,3
2951016-279,3
29510000011,2
29510000193,3
29510000194,3
29510000195,3
29510000192,3
29510000012,3
2951016-024,3
2951016-013,3
29510000198,3
29510000014,3
2951016-014,3
29510000199,3
29510000197,3
29189UNV007,3
29189UNV006,3
29189UNV037,3
29189UNV021,3
29189NOR041,3
29189NOR005,3
29189UNV045,3
29189UNV030,3
29189NOR037,3
29189NOR033,3
29189NOR009,3
29189NOR001,3
29189NOR006,3
29189NOR007,3
29189NOR022,3
29189NOR029,3
29189NOR002,3
29189NOR003,3
29189NOR045,3
29189NOR218,3
29189NOR034,3
29189NOR051,3
29189NOR222,3
29189NOR008,3
29189NOR048,3
29189NRW040,3
29189NRW041,3
29189NRW051,3
29189NRW049,3
29189NRW050,3
29189NRW035,3
29189NRW047,3
29189NRW033,3
29189NOR044,3
29189NRW037,3
29189NRW036,3
29189NRW024,3
29189NRW011,3
29189NRW018,3
29189NRW012,3
29189NRW038,3
29189NRW013,3
29189NRW010,3
29189NRW020,3
291890SF014,3
29189NRW046,3
29189NRW042,3
29189NRW022,3
291890SF013,3
291890SF015,3
29189NRW016,3
29189NRW043,3
29189NRW201,3
29189NRW044,3
29189NRW045,3
291890SF016,3
291890SF031,3
291890SF032,3
291890SF027,3
291890SF034,3
291890SF023,3
291890SF029,3
291890SF017,3
291890SF021,3
291890SF200,3
291890SF011,3
291890SF019,3
291890SF025,3
291890SF035,3
