"id-virginia-va_adj_vtds20-40-StateSenateDistricts",assignment
51149000105,24
51149000202,24
51149000205,25
51149000201,24
51149000104,25
51149000204,24
51149000203,24
51149000102,24
51149000101,24
51149000103,24
51595000401,24
51595000201,24
51595000501,24
51595000301,24
51595000701,24
51595000601,24
51595000101,24
51600000006,5
51600000001,5
51600000002,5
51600000005,5
51600000004,5
51600000003,5
51187000102,12
51187000302,12
51187000101,12
51187000202,12
51187000402,12
51187000201,12
51187000501,12
51187000301,12
51187000401,12
51187000502,12
51187000504,12
51175000401,24
51175000301,24
51175000702,24
51175000701,24
51175000501,24
51175000502,24
51175000602,24
51175000601,24
51175000302,24
51175000102,24
51175000101,24
51175000202,24
51175000201,24
51700000311,18
51700000318,18
51700000216,17
51700000211,17
51700000319,17
51700000202,17
51700000219,17
51700000320,17
51700000203,17
51700000218,17
51700000208,17
51700000107,17
51700000308,18
51700000307,18
51700000314,18
51700000312,18
51700000306,18
51700000310,18
51700000210,17
51700000209,17
51700000302,18
51700000105,17
51700000101,17
51700000303,18
51700000109,17
51700000315,17
51700000103,17
51700000304,18
51700000201,17
51700000305,18
51700000212,17
51700000215,17
51700000316,17
51700000204,17
51700000317,18
51570000003,28
51570000001,28
51570000004,28
51570000005,28
51570000002,28
51700000217,17
51700000309,18
51700000213,17
51700000313,18
51097000301,15
51097000101,15
51097000201,15
51097000401,15
51097000501,15
51161000401,36
51093000502,24
51093000503,24
51093000505,24
51093000504,24
51093000501,24
51093000302,24
51093000301,24
51093000201,24
51093000202,24
51093000101,24
51093000102,24
51093000402,24
51093000403,24
51093000401,24
51730000301,25
51730000601,25
51730000701,25
51730000201,25
51730000101,25
51730000501,25
51730000401,25
51550000019,22
51550000018,19
51550000033,19
51550000063,22
51550000028,22
51630000101,13
51630000301,13
51630000401,13
51630000201,13
51630000402,13
51550000026,19
51550000012,19
51550000031,19
51550000042,22
51550000015,22
51550000056,22
51550000029,19
51550000035,23
51550000045,19
51550000008,19
51550000011,19
51550000013,19
51550000034,22
51550000038,22
51550000044,23
51550000027,23
51550000021,23
51550000022,19
51550000004,23
51550000020,22
51550000054,23
51550000061,22
51550000055,19
51550000059,22
51550000005,19
51550000050,22
51550000046,22
51550000001,22
51550000043,22
51550000002,22
51550000036,22
51550000017,22
51550000041,22
51550000006,22
51550000048,19
51550000062,22
51550000003,19
51550000025,19
51550000009,22
51550000051,22
51550000049,22
51550000010,19
51550000039,22
51550000058,22
51550000023,22
51550000016,22
51550000024,19
51550000052,22
51550000014,22
51550000057,22
51550000030,19
51550000053,22
51550000037,22
51550000060,22
51550000007,22
51550000032,19
51103000101,15
51103000201,15
51103000301,15
51103000302,15
51103000401,15
51103000501,15
51620000401,24
51620000601,24
51620000301,24
51620000501,24
51840000102,12
51840000301,12
51840000101,12
51840000402,12
51840000201,12
51840000401,12
51036000101,26
51036000201,26
51036000301,26
51610000003,2
51610000001,2
51610000002,2
51101000301,15
51101000401,15
51101000202,15
51101000501,15
51101000201,15
51101000101,15
51089000102,35
51089000103,35
51089000101,35
51089000405,35
51089000402,35
51089000404,35
51089000401,35
51089000203,35
51089000202,35
51089000204,35
51089000201,35
51089000602,35
51089000603,35
51089000604,35
51089000601,35
51089000305,35
51089000303,35
51089000304,35
51089000302,35
51089000503,35
51089000502,35
51089000501,35
51089000505,35
51089000504,35
51145000101,31
51145000102,31
51145000103,31
51145000201,31
51145000202,31
51145000302,31
51145000502,31
51145000501,31
51145000503,31
51145000301,31
51145000402,31
51145000401,31
51099000301,13
51099000102,13
51099000101,13
51099000201,13
51099000401,13
51013000050,0
51013000017,0
51013000034,0
51013000033,0
51013000023,0
51013000031,0
51013000014,0
51013000004,0
51013000013,0
51013000028,1
51013000020,0
51013000047,1
51013000016,0
51013000048,0
51013000002,0
51013000015,0
51013000005,0
51013000027,0
51013000022,1
51013000009,0
51013000026,0
51013000035,0
51013000044,0
51013000019,0
51013000010,0
51013000038,0
51013000008,0
51013000032,0
51013000001,0
51013000030,0
51013000042,1
51013000012,1
51013000052,0
51013000021,0
51013000003,0
51013000006,0
51013000024,0
51013000011,0
51013000041,0
51013000007,0
51013000036,0
51013000025,0
51013000045,0
51013000029,0
51013000018,0
51013000039,0
51013000049,0
51013000040,0
51013000037,0
51013000053,0
51013000051,0
51013000046,0
51013000054,0
51013000043,0
51107000422,11
51107000322,11
51107000126,11
51700000205,17
51700000108,17
51700000106,17
51700000110,17
51700000102,17
51700000104,17
51087000316,29
51007000101,31
51007000301,31
51007000201,31
51007000401,31
51007000501,31
51113000003,32
51113000001,32
51113000002,32
51113000005,32
51113000004,32
51113000006,32
51113000008,32
51113000007,32
51113000009,32
51510000112,1
51510000309,1
51135000302,24
51135000101,24
51135000501,24
51135000402,24
51135003012,24
51135000201,24
51135003011,24
51135000102,24
51135000401,24
51049000101,31
51049000201,31
51049000301,31
51049000501,31
51049000401,31
51133000101,15
51133000201,15
51133000301,15
51133000501,15
51133000401,15
51005005101,37
51005005103,37
51005005601,37
51005005701,37
51005005201,37
51005005502,37
51005005501,37
51005005202,37
51005005402,37
51005005302,37
51005005301,37
