"id-virginia-va_adj_vtds20-40-StateSenateDistricts",assignment
51149000105,18
51149000202,18
51149000205,14
51149000201,18
51149000104,18
51149000204,18
51149000203,18
51149000102,18
51149000101,18
51149000103,18
51595000401,20
51595000201,20
51595000501,20
51595000301,20
51595000701,20
51595000601,20
51595000101,20
51600000006,2
51600000001,2
51600000002,2
51600000005,2
51600000004,2
51600000003,2
51187000102,13
51187000302,13
51187000101,13
51187000202,13
51187000402,13
51187000201,13
51187000501,13
51187000301,13
51187000401,13
51187000502,13
51187000504,13
51175000401,20
51175000301,20
51175000702,20
51175000701,20
51175000501,20
51175000502,20
51175000602,20
51175000601,20
51175000302,20
51175000102,18
51175000101,20
51175000202,20
51175000201,20
51700000311,19
51700000318,19
51700000216,18
51700000211,19
51700000319,19
51700000202,18
51700000219,19
51700000320,19
51700000203,18
51700000218,19
51700000208,18
51700000107,19
51700000308,19
51700000307,19
51700000314,18
51700000312,19
51700000306,18
51700000310,19
51700000210,18
51700000209,18
51700000302,19
51700000105,19
51700000101,18
51700000303,19
51700000109,19
51700000315,19
51700000103,18
51700000304,19
51700000201,19
51700000305,18
51700000212,18
51700000215,18
51700000316,19
51700000204,18
51700000317,19
51570000003,16
51570000001,16
51570000004,16
51570000005,16
51570000002,16
51700000217,18
51700000309,19
51700000213,18
51700000313,19
51097000301,26
51097000101,26
51097000201,26
51097000401,26
51097000501,26
51161000401,36
51093000502,20
51093000503,20
51093000505,18
51093000504,18
51093000501,20
51093000302,18
51093000301,18
51093000201,18
51093000202,18
51093000101,18
51093000102,18
51093000402,18
51093000403,18
51093000401,18
51730000301,14
51730000601,14
51730000701,14
51730000201,14
51730000101,14
51730000501,14
51730000401,14
51550000019,17
51550000018,21
51550000033,24
51550000063,24
51550000028,20
51630000101,12
51630000301,12
51630000401,12
51630000201,12
51630000402,12
51550000026,21
51550000012,21
51550000031,21
51550000042,24
51550000015,24
51550000056,24
51550000029,21
51550000035,17
51550000045,17
51550000008,21
51550000011,21
51550000013,20
51550000034,20
51550000038,17
51550000044,17
51550000027,17
51550000021,17
51550000022,21
51550000004,17
51550000020,17
51550000054,17
51550000061,20
51550000055,21
51550000059,24
51550000005,21
51550000050,20
51550000046,20
51550000001,20
51550000043,20
51550000002,20
51550000036,20
51550000017,24
51550000041,20
51550000006,20
51550000048,17
51550000062,20
51550000003,17
51550000025,21
51550000009,20
51550000051,20
51550000049,24
51550000010,21
51550000039,20
51550000058,24
51550000023,20
51550000016,24
51550000024,21
51550000052,20
51550000014,20
51550000057,24
51550000030,21
51550000053,24
51550000037,20
51550000060,20
51550000007,24
51550000032,21
51103000101,26
51103000201,26
51103000301,26
51103000302,26
51103000401,26
51103000501,26
51620000401,20
51620000601,20
51620000301,20
51620000501,20
51840000102,29
51840000301,29
51840000101,29
51840000402,29
51840000201,29
51840000401,29
51036000101,15
51036000201,15
51036000301,15
51610000003,2
51610000001,2
51610000002,2
51101000301,26
51101000401,26
51101000202,26
51101000501,26
51101000201,26
51101000101,26
51089000102,33
51089000103,33
51089000101,33
51089000405,33
51089000402,33
51089000404,33
51089000401,33
51089000203,33
51089000202,33
51089000204,33
51089000201,33
51089000602,33
51089000603,33
51089000604,33
51089000601,33
51089000305,33
51089000303,33
51089000304,33
51089000302,33
51089000503,33
51089000502,33
51089000501,33
51089000505,33
51089000504,33
51145000101,28
51145000102,28
51145000103,28
51145000201,28
51145000202,35
51145000302,35
51145000502,35
51145000501,35
51145000503,35
51145000301,35
51145000402,35
51145000401,35
51099000301,26
51099000102,26
51099000101,26
51099000201,26
51099000401,26
51013000050,1
51013000017,1
51013000034,1
51013000033,1
51013000023,1
51013000031,1
51013000014,1
51013000004,1
51013000013,1
51013000028,0
51013000020,1
51013000047,0
51013000016,1
51013000048,1
51013000002,1
51013000015,1
51013000005,1
51013000027,1
51013000022,0
51013000009,1
51013000026,1
51013000035,1
51013000044,1
51013000019,1
51013000010,1
51013000038,1
51013000008,1
51013000032,1
51013000001,1
51013000030,1
51013000042,0
51013000012,0
51013000052,1
51013000021,1
51013000003,1
51013000006,1
51013000024,1
51013000011,1
51013000041,1
51013000007,1
51013000036,1
51013000025,1
51013000045,1
51013000029,1
51013000018,1
51013000039,1
51013000049,1
51013000040,1
51013000037,1
51013000053,1
51013000051,1
51013000046,1
51013000054,1
51013000043,1
51107000422,9
51107000322,9
51107000126,9
51700000205,18
51700000108,18
51700000106,18
51700000110,18
51700000102,18
51700000104,19
51087000316,27
51007000101,35
51007000301,35
51007000201,35
51007000401,35
51007000501,35
51113000003,13
51113000001,13
51113000002,13
51113000005,13
51113000004,13
51113000006,13
51113000008,13
51113000007,13
51113000009,13
51510000112,0
51510000309,0
51135000302,20
51135000101,20
51135000501,20
51135000402,20
51135003012,20
51135000201,20
51135003011,20
51135000102,20
51135000401,20
51049000101,35
51049000201,35
51049000301,35
51049000501,35
51049000401,35
51133000101,26
51133000201,26
51133000301,26
51133000501,26
51133000401,26
51005005101,37
51005005103,37
51005005601,37
51005005701,37
51005005201,37
51005005502,37
51005005501,37
51005005202,37
51005005402,37
51005005302,37
51005005301,37
51005005401,37
51760000111,28
51760000112,28
51760000604,15
51760000105,28
51760000309,15
51760000301,15
51760000703,15
51760000102,28
51760000412,28
51760000404,28
51760000602,15
51760000708,28
51760000609,14
51760000114,28
51760000113,15
51760000707,14
51760000503,28
51760000702,15
51760000207,28
51760000204,15
51760000501,28
51760000510,14
51760000811,14
51760000402,28
51760000504,28
51760000802,14
51760000909,14
51760000505,28
51760000911,14
51760000610,14
51760000910,14
51760000810,14
51760000903,14
51760000509,14
51760000902,14
51760000701,15
51760000101,28
51760000414,28
51760000410,28
51760000306,15
51760000213,15
51760000705,14
51760000305,15
51760000302,15
51760000208,15
51760000706,14
51760000908,14
51760000206,15
51760000214,15
51760000307,15
51760000308,15
51760000303,15
51760000508,28
51760000603,15
51760000310,15
51760000606,15
51760000304,15
51760000409,28
51760000812,14
51760000806,14
51760000607,28
51760000413,28
51760000203,15
51760000814,14
51760000104,28
51760000106,28
51031000302,35
51031000303,35
51031000301,35
51031000202,32
51031000702,35
51031000701,35
51031000703,35
51031000501,32
51031000601,32
51031000602,35
51031000102,32
51031000101,32
51031000402,35
51031000401,35
51031000502,35
51031000201,32
51735000003,25
51735000002,25
51735000001,25
51685000003,10
51161000101,37
51161000106,36
51161000107,37
51161000108,36
51161000103,36
51161000105,36
51161000102,37
