GEOID20,assignment
01013000010,60
01091000504,56
01091000508,56
01091000511,56
01091000306,56
01091000507,55
01013000020,60
01003000015,58
01003000018,25
01003000005,25
01003000021,25
01003000017,25
01003000045,101
01003000014,58
01003000022,25
01003000004,25
01003000016,25
01003000006,38
01003000019,25
01003000009,38
01003000035,101
01003000020,101
01003000007,38
01003000042,101
01003000046,101
01003000023,42
01003000032,79
01003000029,79
01003000034,79
01003000028,25
01003000038,79
01003000033,79
01003000049,42
01003000044,42
01003000010,96
01003000043,42
01003000036,96
01003000039,96
01003000041,79
01003000037,96
01003000048,79
01003000040,96
01003000047,79
01003000030,42
01003000031,42
01003000025,25
01003000024,42
01003000026,25
01003000008,38
01003000027,25
01003000012,58
01003000002,55
01003000013,58
01003000001,55
01003000011,58
01003000003,55
01049000003,49
01049000002,54
01049000001,91
01049000004,52
01053000080,80
01053000120,80
01053000100,80
01053000290,58
01053000090,80
01053000050,80
01053000190,58
01053000180,58
01053000070,80
01053000110,80
01053000300,55
01053000160,80
01053000140,80
01053000170,58
01051000151,16
01051000141,16
01051000171,63
01051000181,69
01051000161,69
01051000131,31
01051000121,31
01051000311,41
01051000051,63
01051000061,63
01051000052,63
01051000071,63
01051000081,63
01051000041,41
01115000003,17
01115000031,102
01115000016,17
01115000026,65
01115000004,102
01115000012,53
01115000009,17
01115000015,53
01115000027,17
01115000024,53
01115000028,17
01115000019,53
01115000025,65
01115000007,65
01115000014,53
01115000011,17
01115000002,17
01115000029,17
01115000005,17
01115000013,53
01095000005,6
01053000150,80
01053000230,80
01053000220,80
01053000040,80
01053000030,80
01053000010,80
01053000210,58
01095000021,89
01095000025,89
01095000012,89
01095000014,89
01095000007,89
01095000019,52
01007000003,64
01007000009,64
01007000005,64
01007000004,64
01007000007,16
01007000001,22
01095000011,89
01095000008,52
01095000023,52
01095000009,52
01095000003,6
01095000017,54
01001000011,16
01001000001,16
01001000008,16
01001000014,16
01001000016,59
01001000009,59
01001000003,16
01001000005,16
01001000012,16
