GEOID20,assignment
490479402014135,67
490479402014116,67
490479402014038,67
490479682012013,67
490351139091031,19
490351128134002,24
490351047003001,34
490351135391004,10
490351143041007,20
490351130221042,26
490351128302015,24
490230101004032,65
490170004001320,68
490251302001066,68
490251301001116,68
490251301001449,68
490251301001441,68
490230102001540,65
490230101005008,65
490230101005037,65
490170003003072,68
490479402014010,67
490479684032037,67
490490101313003,55
490490101314001,53
490490105041026,63
490490101202016,32
490490007091009,56
490490015043003,59
490490104042013,62
490490101161014,31
490351128271068,29
490351128271077,29
490351135421007,19
490351016003016,37
490351128163016,24
490351128163029,24
490351126182007,23
490351130141012,27
490351128231008,25
490351151082033,29
490351126103019,22
490351143043019,20
490351126172005,16
490351152111029,26
490351152111071,26
490351101041010,13
490351131132032,28
490351128271076,29
490190003022337,68
490351124051016,22
490351128153002,24
490070002001051,65
490070003003018,65
490070002001014,65
490490022042008,58
490490006031006,55
490419752001369,71
490419752001118,71
490419755001057,69
490190002001009,68
490351151081012,29
490351134091003,10
490190003021007,68
490190003012010,68
490190003022349,68
490351130221017,26
490351130252006,27
490351130102003,25
490351133102000,11
490351125054009,22
490419751001010,71
490490109002080,60
490490027021000,60
490490104111027,63
490490103071027,62
490490102173014,52
490490101073079,32
490490007082011,56
490490103071026,61
490490102091001,52
490419754003083,69
490419752001327,71
490419752001361,71
490419755002144,69
490419755002068,69
490490101161011,31
490499801001023,29
490490104101007,63
490490105042058,63
490490102101018,54
490490029021008,60
490490001031006,53
490490017023008,59
490490104062012,62
490490008031011,56
490490011032000,57
490490022131003,61
490419752001006,71
490490105055006,63
490419751001156,71
490351130242020,27
490351131052000,28
490351152111062,26
490190003012046,68
490351121013005,14
490399725002079,71
490490101074071,32
490159765003191,68
490159765003274,68
490399722002026,71
490399723001085,71
490399722001155,71
490399725002045,71
490399723002018,71
490572104081011,48
490572107044013,47
490572102013002,6
490572103053019,48
490572107041000,47
490572020001008,49
490572110001000,51
490572107032004,47
490572008001009,50
490572109001013,51
490572106003003,46
490490006011007,54
490490102162006,52
490490029013029,61
490490021023005,58
490490005062001,54
490490030013000,60
490490105032091,61
490490008012004,56
490490032054003,62
490490032054011,62
490419755002148,69
490319601002068,68
490319601002132,68
490379781001354,68
490379782001026,68
490379781001270,68
490379782002013,68
490379781003008,68
490490102193014,52
490251301001348,68
490559791002799,68
490559791002126,68
490230102001134,65
490230102004111,65
490170003002102,68
490251301001110,68
490251301001044,68
490251301001675,68
490451307042002,8
490451307062037,8
490451307083081,1
490451306002078,1
490251301001230,68
490251302003031,68
490251302004007,68
490559791002860,68
490559791002863,68
490559791002859,68
490559791002588,68
490559791002273,68
490230101002043,65
490451307071062,1
490451306002042,1
490451306002196,1
490559791002826,68
490559791002845,68
490230102003018,65
490170003003022,68
490559791002559,68
490559791002590,68
490230101003013,65
490351140001009,36
490419755003065,69
490490104101014,63
490170004002217,68
490251301001702,68
490251301001035,68
490159763001013,65
490159765003337,68
490159765003279,68
490379420002036,68
490379782001180,68
490379782003076,68
490399721011052,71
490399721011012,71
490399725003115,71
490399722001228,71
490251302004036,68
490399724011017,71
490379782001052,68
490379420002147,68
490379782004025,68
490379782001228,68
490230102002203,65
490230101002015,65
490170004001131,68
490251301001773,68
490251302001035,68
490399721011031,71
490399721013065,71
490451306002337,1
490451307081029,1
490451307062030,8
490451307071005,1
490451307071248,1
490111258052001,43
490111259071023,43
490111254112023,45
490111254083018,45
490139403001075,66
490399721022000,71
490399721021007,71
490451306002130,1
490451306002226,1
490572104081057,48
490572102041002,6
490379420001151,68
490379782001019,68
490011002001494,69
490572105172031,48
490572104061021,48
490351139091007,7
490351145001016,9
490351145003160,9
490351145001006,9
490351124052009,22
490351113052013,16
490351110012010,15
490351139044000,7
490351123013014,18
490351126081004,23
490351129052002,17
490572112023021,51
490011002001345,69
490011002003012,69
490011002001103,69
490011002001301,69
490011002001622,69
490351124021004,22
490351143021017,19
490351131081016,20
490351131141025,28
490351114001004,33
490351113051003,16
490351134151020,9
490351145003036,35
490351146011002,27
490351121023008,18
490351135362002,11
490351106002010,15
490351124044005,22
490351131081017,20
490111261082022,41
490572108002015,51
490572012002013,50
490572004002014,50
490572013011007,50
490572004001012,50
490572101011035,6
490572105143008,48
490572107043003,47
490572107043009,47
490572103034004,6
490572014003015,49
490572015002022,49
490572013011003,50
490572101012002,51
490572105143004,48
490572104041012,48
490572109003018,51
490572003021010,50
490572103062037,6
490572105181050,48
490572105182044,48
490572106001010,47
490572103062007,6
490572101021116,51
490572104062033,48
490572002042034,49
490139403001067,66
490139405011033,67
490139405012045,67
490111254071005,45
490111261013003,41
490111259054022,43
490111264062023,38
490351124043001,22
490351126142008,16
490351006002011,35
490351135432021,19
490351135432013,19
490351135432007,19
490351036002001,37
490351040001000,34
490351130233026,26
490351148003023,37
490351130162013,27
490351143013031,19
490351128051020,24
490351131121006,28
490379782004009,68
490319601001076,68
490319601002014,68
490379420002169,68
490379420002170,68
490379782001175,68
490379420002205,68
490319601001007,68
490011002001373,69
490011002002005,69
490111262032012,41
490379781001421,68
490379420002192,68
490379781001430,68
490379782001321,68
490379782001311,68
490379782001056,68
490379782001253,68
490319601002246,68
490351142001020,17
490351128122012,23
490351126083019,23
490379421001045,68
490379421002006,68
490339501002088,2
490139406002094,66
490139405012027,67
490139406001009,66
490139405012041,67
490139406005046,66
490111260023009,42
490451306002142,1
490451307082043,1
490351128301018,24
490351126091001,16
490351126192005,23
490351126083007,23
490351125012001,22
490351044002016,34
490351103003004,13
490351119033006,14
490351029001014,36
490351101044015,13
490351135111014,11
490351126133006,23
490451307082017,1
490451308002032,1
490451306002536,1
490451307042004,1
490011001003044,69
490519405011469,66
490351007002007,38
490351103006011,13
490351128124002,21
490351040001008,34
490351016003013,37
490351126211008,21
490351102004004,13
490351131013015,20
490299701013009,51
490299702001001,51
490439642031150,64
490439644023010,64
490439643081012,64
490059801001306,2
490351135102013,11
490351126152007,16
490451306001129,1
490451306001227,1
490451307082051,1
490011002001632,69
490039608011028,5
490039605001000,5
490039602003010,5
490039601003460,1
490351135211000,17
490351119061007,14
490351111072007,15
490351135093024,11
490351135093033,11
490039608012003,6
490039606021000,5
490039601002067,1
490039602001070,1
490050004011008,2
490299701022005,51
490299701021020,51
490011002001269,69
490451307082033,1
490451307072000,8
490451307082062,8
490351128243001,25
490351133082019,9
490351111053001,14
490351151073001,29
490351130233023,26
490351135262010,12
490351126121004,23
490351005004003,35
490351115001028,33
490351130133017,27
490351142001010,17
490351044001004,34
490351111041007,14
490351110021012,15
490351135381009,10
490351010002001,38
490351131112001,29
490351143031013,19
490351116012001,33
490351124022006,22
490351125033003,22
490351140001003,36
490351129172010,20
490351135282003,19
490351105002003,13
490351130133004,27
490351139054002,7
490351105002006,13
490532703013022,74
490532709043000,72
490532709051028,72
490532703012012,74
490211107032000,70
490211107021040,69
490211104004014,70
490211103003371,69
490211103001060,69
490211105023008,70
490532703021135,75
490211106022051,69
490211106022002,69
490211103003135,69
490279742002170,69
490279742002134,69
490279742002139,69
490532709042017,72
490279742002147,69
490532717032033,73
490532709053067,72
490490101074117,65
490490015013021,59
490519605001030,66
490519405011280,66
490519405011272,66
490519405011150,66
490519405011364,66
490351110013010,15
490351125032011,22
490351126044001,23
490351029001023,36
490211107021042,69
490211107043023,70
490211101004103,69
490279742003723,69
490279741003041,69
490279742002057,69
490532718001014,74
490211102023080,69
490211104004000,70
490011002001082,69
490011002001521,69
490011002001434,69
490532717031021,73
490211103001443,69
490039601003361,1
490039601003506,1
490039601003530,1
490039608012039,6
490039601002114,1
490039602001065,1
490039603024010,5
490039604003050,1
490351124061010,22
490351135212007,17
490351135362007,11
490351134143010,7
490279743002073,69
490490011033001,57
490351108001001,15
490351109001013,15
490351129132002,20
490351135201002,11
490351131081008,20
490351135402018,19
490351130131036,27
490351152101007,26
490351135102008,11
490351032002006,33
490351129073002,21
490351126201004,21
490351031002009,36
490351107012006,13
490351119042004,14
490351120012004,14
490351122012009,18
490351128122013,23
490351151082026,29
490351146021004,27
490351135391019,10
490351041001000,37
490351041001018,37
490351113022013,16
490351130171003,27
490351029001032,36
490351135421020,19
490351126181006,16
490211105013004,70
490099601001283,67
490490101202045,32
490351130123011,25
490351152113006,19
490351018001001,37
490351103003012,13
490351134141016,9
490351128163017,24
490351028012018,33
490351128131000,23
490351131021011,20
490351111092006,14
490099601001303,67
490099601001320,67
490099601001287,67
490490007063010,55
