"GEOID20",assignment
29165000035,0
29165000019,0
29165000039,0
29165000015,0
29165000024,0
29165000023,0
29165000026,0
29165000032,0
29165000027,0
29165000010,0
29165000004,0
29165000017,0
29165000028,1
29165000025,1
29165000013,1
29165000040,1
29165000033,1
29165000042,1
29165000012,1
29165000031,1
29165000003,1
29047000020,2
29047000040,2
29047000049,2
29047000048,2
29047000051,2
29047000021,2
29047000052,2
29047000031,2
29047000054,2
29047000053,2
29047000016,2
29047000041,2
29047000045,2
29047000013,3
29047000035,3
29047000023,3
29047000022,3
29047000009,3
29047000011,3
29047000015,3
29047000012,3
29047000014,3
29047000017,3
29047000010,3
29047000024,3
29047000029,3
29047000030,4
29047000036,4
29047000046,4
29047000047,4
29047162127,4
29047000033,4
29047000032,4
29047000050,4
29047000044,5
29047000038,5
29047000002,5
29047000039,5
29047000034,5
29047000042,5
29047000043,5
29047000068,5
29047000026,5
29047000069,5
29047000064,5
29047000063,5
29047000059,5
29047000027,6
29047000066,6
29047000070,6
29047000067,6
29047000062,6
29047000065,6
29047000060,6
29047000061,6
2904716-216,6
29047000071,7
29047000006,7
29047000007,7
29047000005,7
29047000004,7
29047000077,7
29047000003,7
29047000076,7
29047000078,7
29047000057,7
29047000058,7
29047000056,7
29047000055,14
29047000072,7
2904716-214,6
2904716-215,6
29047000025,7
29047000028,8
29047000075,8
29047000074,8
29047000073,8
29047000037,8
29165000020,8
29165000014,8
29165000002,8
29165000021,8
29165000034,8
29165000037,9
29165000038,9
29165000030,9
29165000005,9
29165000041,9
29165000011,9
29165000036,9
29165000022,9
29165000029,9
29165000008,9
29165000044,9
29165000043,9
29165000006,9
29165000007,9
29165000009,9
29165000018,9
29021000028,9
29021000033,9
29021000030,9
29021000029,9
29021000027,9
29021000032,9
29021000011,10
29021000002,10
29021000004,10
29021000006,10
29021000001,10
29021000020,10
29021000021,10
29021000010,10
29021000008,10
29021000014,10
29021000016,9
29021000018,11
29021000012,11
29021000023,11
29021000024,11
29021000035,9
29021000034,11
29021000022,11
29021000031,9
29165000016,9
29003000007,11
29003000003,11
29003000006,11
29003000002,11
29003000005,11
29003000004,11
29003000011,11
29005000002,12
29005000006,12
29005000007,12
29005000004,12
29005000005,12
29087000002,12
29087000006,12
29087000005,12
29087000004,12
29087000007,12
29087000003,12
29003000017,12
29003000009,12
29003000008,12
29003000021,12
29003000016,12
29003000020,12
29003000013,12
29003000014,12
29003000012,12
29003000010,12
29003000019,12
29003000018,12
29003000015,12
29147000004,12
29147000012,12
29147000010,12
29147000011,12
29147000017,12
29147000006,12
29147000020,12
29147000003,12
29147000013,12
29147000016,12
29147000014,12
29147000015,12
29147000002,12
29147000018,13
29147000005,13
29147000007,13
29147000008,13
29147000009,13
29147000019,13
29227000004,13
29227000008,13
29227000003,13
29227000007,13
29227000005,13
29227000006,13
29227000002,13
29075000007,13
29075000014,13
29075000004,13
29075000006,13
29075000005,13
29075000009,13
29075000008,13
29075000002,13
29075000003,13
29075000011,13
29075000010,13
29075000012,13
29075000013,13
2908116-012,13
29081000009,13
29081000003,13
29081000004,13
29081000010,13
29081000008,13
29061000012,13
29061000008,13
29063000012,13
29063000011,13
29063000009,13
29049000008,14
29049000003,14
29049000002,14
29049000005,14
29049000006,14
29049000007,14
29025000389,14
